id	county	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name
01001	Autauga County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL
01007	Bibb County	AL02	AL	02	West Alabama Regional Commission	AL03	Birmingham-Hoover, AL
01009	Blount County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL
01015	Calhoun County	AL04	AL	04	East Alabama Regional Plan and Dev Commission	AL04	Anniston-Oxford-Jacksonville, AL
01021	Chilton County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL
01033	Colbert County	AL01	AL	01	Northwest Alabama Regional Council of Governments	AL01	Florence-Muscle Shoals, AL
01051	Elmore County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL
01055	Etowah County	AL04	AL	04	East Alabama Regional Plan and Dev Commission	AL04	Gadsden, AL
01061	Geneva County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL
01065	Hale County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL
01067	Henry County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL
01069	Houston County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL
01073	Jefferson County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL
01077	Lauderdale County	AL01	AL	01	Northwest Alabama Regional Council of Governments	AL01	Florence-Muscle Shoals, AL
01079	Lawrence County	AL11	AL	11	North-Central Alabama Regional Council of Governments	AL11	Decatur, AL
01081	Lee County	AL10	AL	10	Lee-Russell Council of Governments	AL10	Auburn-Opelika, AL
01083	Limestone County	Al12	Al	12	Top of Alabama Council of Governments	AL12	Huntsville, AL
01085	Lowndes County	AL05	AL	05	South Central Alabama Development Commission	AL09	Montgomery, AL
01089	Madison County	Al12	Al	12	Top of Alabama Council of Governments	AL12	Huntsville, AL
01097	Mobile County	AL08	AL	08	South Alabama Regional Planning Commission	AL08	Mobile, AL
01101	Montgomery County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL
01103	Morgan County	AL11	AL	11	North-Central Alabama Regional Council of Governments	AL11	Decatur, AL
01107	Pickens County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL
01113	Russell County	AL10	AL	10	Lee-Russell Council of Governments	GA09	Columbus, GA-AL
01115	St. Clair County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL
01117	Shelby County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL
01125	Tuscaloosa County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL
01127	Walker County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL
02020	Anchorage, MunicipalityAK50	AK	50	Anchorage Metropolitan Area Transportation Solutions	AK50	Anchorage, AK
02090	Fairbanks North Star Borough	AK51	AK	51	Fairbanks Metropolitan Area Transportation System	AK51	Fairbanks, AK
