id	municipality	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name			
0901301080	Andover town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900901220	Ansonia town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0901501430	Ashford town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900302060	Avon town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900502760	Barkhamsted town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900903250	Beacon Falls town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0900304300	Berlin town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900904580	Bethany town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900104720	Bethel town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900504930	Bethlehem town	CT04	CT	04	Naugatuck Valley Council of Governments	0	#N/A			
0900305910	Bloomfield town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901306260	Bolton town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901106820	Bozrah town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900907310	Branford town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900108070	Bridgeport town	CT02	CT	02	Connecticut Metropolitan Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900508210	Bridgewater town	CT09	CT	09	Western Connecticut Council of Governments	0	#N/A			
0900308490	Bristol town	CT04	CT	04	Naugatuck Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900108980	Brookfield town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0901509190	Brooklyn town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900310100	Burlington town	CT06	CT	06	Northwest Hills Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900510940	Canaan town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901512130	Canterbury town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900312270	Canton town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901513810	Chaplin town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900914160	Cheshire town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0900714300	Chester town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900715350	Clinton town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901115910	Colchester town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900516050	Colebrook town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901316400	Columbia town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900517240	Cornwall town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901317800	Coventry town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900718080	Cromwell town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900118500	Danbury town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900118850	Darien town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900719130	Deep River town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900919550	Derby town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0900720810	Durham town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900322070	East Granby town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900722280	East Haddam town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900722490	East Hampton town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900322630	East Hartford town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900922910	East Haven town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0901123400	East Lyme town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900324800	East Windsor town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
