Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,,,,,,,,,,
Callahan County,TX07,TX,07,0,West Central Texas Council of Governments,48059,0,"Abilene, TX",,165252,,,,,,,,,,
Jones County,TX07,TX,07,0,West Central Texas Council of Governments,48253,0,"Abilene, TX",,165252,,,,,,,,,,
Taylor County,TX07,TX,07,0,West Central Texas Council of Governments,48441,0,"Abilene, TX",,165252,,,,,,,,,,
Portage County,OH02,OH,02,0,Northeast Ohio Four County Regional Planning and Development Organization,39133,0,"Akron, OH",,703200,,,,,,,,,,
Summit County,OH02,OH,02,0,Northeast Ohio Four County Regional Planning and Development Organization,39153,0,"Akron, OH",,703200,,,,,,,,,,
Albany County,NY01,NY,01,0,Capital District Planning Commission,36001,0,"Albany-Schenectady-Troy, NY",,870716,,,,,,,,,,
Rensselaer County,NY01,NY,01,0,Capital District Planning Commission,36083,0,"Albany-Schenectady-Troy, NY",,870716,,,,,,,,,,
Saratoga County,NY01,NY,01,0,Capital District Planning Commission,36091,0,"Albany-Schenectady-Troy, NY",,870716,,,,,,,,,,
Schenectady County,NY01,NY,01,0,Capital District Planning Commission,36093,0,"Albany-Schenectady-Troy, NY",,870716,,,,,,,,,,
Schoharie County,NY08,NY,08,0,Southern Tier East Regional Planning Development Board,36095,0,"Albany-Schenectady-Troy, NY",,870716,,,,,,,,,,
Baker County,GA04,GA,04,0,Southwest Georgia Regional Commission,13007,0,"Albany, GA",,157308,,,,,,,,,,
Dougherty County,GA04,GA,04,0,Southwest Georgia Regional Commission,13095,0,"Albany, GA",,157308,,,,,,,,,,
Lee County,GA04,GA,04,0,Southwest Georgia Regional Commission,13177,0,"Albany, GA",,157308,,,,,,,,,,
Terrell County,GA04,GA,04,0,Southwest Georgia Regional Commission,13273,0,"Albany, GA",,157308,,,,,,,,,,
Worth County,GA04,GA,04,0,Southwest Georgia Regional Commission,13321,0,"Albany, GA",,157308,,,,,,,,,,
Linn County,OR06,OR,06,0,Oregon Cascades West Council of Governments,41043,0,"Albany, OR",,118765,,,,,,,,,,
Bernalillo County,NM01,NM,01,0,Mid-Region Council of Governments of New Mexico,35001,0,"Albuquerque, NM",,887077,,,,,,,,,,
Sandoval County,NM01,NM,01,0,Mid-Region Council of Governments of New Mexico,35043,0,"Albuquerque, NM",,887077,,,,,,,,,,
Torrance County,NM01,NM,01,0,Mid-Region Council of Governments of New Mexico,35057,0,"Albuquerque, NM",,887077,,,,,,,,,,
Valencia County,NM01,NM,01,0,Mid-Region Council of Governments of New Mexico,35061,0,"Albuquerque, NM",,887077,,,,,,,,,,
Grant Parish,LA06,LA,06,0,Kisatchie-Delta Regional Planning and Development District,22043,0,"Alexandria, LA",,153922,,,,,,,,,,
Rapides Parish,LA06,LA,06,0,Kisatchie-Delta Regional Planning and Development District,22079,0,"Alexandria, LA",,153922,,,,,,,,,,
Warren County,NJ50,NJ,50,0,North Jersey Transportation Planning Authority,34041,0,"Allentown-Bethlehem-Easton, PA-NJ",,821173,,,,,,,,,,
Lehigh County,PA04,PA,04,0,Lehigh Valley Planning Commission,42077,0,"Allentown-Bethlehem-Easton, PA-NJ",,821173,,,,,,,,,,
Northampton County,PA04,PA,04,0,Lehigh Valley Planning Commission,42095,0,"Allentown-Bethlehem-Easton, PA-NJ",,821173,,,,,,,,,,
Carbon County,PA07,PA,07,0,Northeastern Pennsylvania Alliance,42025,0,"Allentown-Bethlehem-Easton, PA-NJ",,821173,,,,,,,,,,
Blair County,PA05,PA,05,0,Southern Alleghenies Planning & Development Commission,42013,0,"Altoona, PA",,127089,,,,,,,,,,
Armstrong County,TX01,TX,01,0,Panhandle Regional Planning Commission,48011,0,"Amarillo, TX",,249881,,,,,,,,,,
Carson County,TX01,TX,01,0,Panhandle Regional Planning Commission,48065,0,"Amarillo, TX",,249881,,,,,,,,,,
Oldham County,TX01,TX,01,0,Panhandle Regional Planning Commission,48359,0,"Amarillo, TX",,249881,,,,,,,,,,
Potter County,TX01,TX,01,0,Panhandle Regional Planning Commission,48375,0,"Amarillo, TX",,249881,,,,,,,,,,
Randall County,TX01,TX,01,0,Panhandle Regional Planning Commission,48381,0,"Amarillo, TX",,249881,,,,,,,,,,
Story County,IA51,IA,51,0,Ames Area MPO,19169,0,"Ames, IA",,89542,,,,,,,,,,
"Anchorage, Municipality",AK50,AK,50,0,Anchorage Metropolitan Area Transportation Solutions,02020,0,"Anchorage, AK",,380821,,,,,,,,,,
Matanuska-Susitna Borough,AK50,AK,50,0,Anchorage Metropolitan Area Transportation Solutions,02170,0,"Anchorage, AK",,380821,,,,,,,,,,
Washtenaw County,MI01,MI,01,0,South East Michigan Council of Governments,26161,0,"Ann Arbor, MI",,344791,,,,,,,,,,
Calhoun County,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01015,0,"Anniston-Oxford-Jacksonville, AL",,118572,,,,,,,,,,
Calumet County,WI06,WI,06,0,East Central Wisconsin Regional Planning Commission,55015,0,"Appleton, WI",,225666,,,,,,,,,,
Outagamie County,WI06,WI,06,0,East Central Wisconsin Regional Planning Commission,55087,0,"Appleton, WI",,225666,,,,,,,,,,
Haywood County,NC04,NC,04,0,Southwestern Commission,37087,0,"Asheville, NC",,424858,,,,,,,,,,
Buncombe County,NC05,NC,05,0,Land-of-Sky Regional Council,37021,0,"Asheville, NC",,424858,,,,,,,,,,
Henderson County,NC05,NC,05,0,Land-of-Sky Regional Council,37089,0,"Asheville, NC",,424858,,,,,,,,,,
Madison County,NC05,NC,05,0,Land-of-Sky Regional Council,37115,0,"Asheville, NC",,424858,,,,,,,,,,
Clarke County,GA06,GA,06,0,Northeast Georgia Regional Commission,13059,0,"Athens-Clarke County, GA",,192541,,,,,,,,,,
Madison County,GA06,GA,06,0,Northeast Georgia Regional Commission,13195,0,"Athens-Clarke County, GA",,192541,,,,,,,,,,
Oconee County,GA06,GA,06,0,Northeast Georgia Regional Commission,13219,0,"Athens-Clarke County, GA",,192541,,,,,,,,,,
Oglethorpe County,GA06,GA,06,0,Northeast Georgia Regional Commission,13221,0,"Athens-Clarke County, GA",,192541,,,,,,,,,,
Cherokee County,GA01,GA,01,0,Atlanta Regional Commission,13057,0,"Atlanta-Sandy Springs-Roswell, GA",,5268860,,,,,,,,,,
Clayton County,GA01,GA,01,0,Atlanta Regional Commission,13063,0,"Atlanta-Sandy Springs-Roswell, GA",,5268860,,,,,,,,,,
