Place	RIGOCode	RIGOCodeSt	RIGOCodeNo	RIGO2	RIGO	Code	Muni									
Jefferson County	OH11	OH	11	WV11	Ohio Mid-Eastern Governments Association	39081	0									
Belmont County	OH11	OH	11	WV10	Ohio Mid-Eastern Governments Association	39013	0									
Surry County	VA01	VA	01	VA19	Hampton Roads Planning District Commission	51181	0									
Charles City County	VA02	VA	02	VA19	Richmond Regional Planning District	51036	0									
Chesterfield County	VA02	VA	02	VA19	Richmond Regional Planning District	51041	0									
Gloucester County	VA01	VA	01	VA18	Hampton Roads Planning District Commission	51073	0									
Franklin County	VA07	VA	07	VA13	Roanoke Valley-Alleghany Regional Commission	51067	0									
Doña Ana County	NM05	NM	05	TX08	South Central Council of Governments	35013	0									
Miller County	AR05	AR	05	TX05 / LA07	Southwest Arkansas Planning and Development District	05091	0									
Catoosa County	GA02	GA	02	TN08	Northwest Georgia Regional Planning Commission	13047	0									
Dade County	GA02	GA	02	TN08	Northwest Georgia Regional Planning Commission	13083	0									
Walker County	GA02	GA	02	TN08	Northwest Georgia Regional Planning Commission	13295	0									
Crittenden County	AR07	AR	07	TN02	East Arkansas Planning and Development District	05035	0									
DeSoto County	MS05	MS	05	TN02	North Delta Planning and Development District	28033	0									
Perry County	PA03	PA	03	PA03	SEDA Council of Governments	42099	0									
Rogers County	OK02	OK	02	OK09	Indian Nations Council of Governments	40131	0									
Fulton County	OH06	OH	06	OH10	Toledo Metropolitan Area Council of Governments	39051	0									
Monroe County	MI01	MI	01	OH06	South East Michigan Council of Governments	26115	0									
Warren County	OH01	OH	01	OH05	Ohio-Kentucky-Indiana Regional Council of Governments	39165	0									
Dearborn County	IN09	IN	09	OH01	Southeastern Indiana Regional Planning Commission	18029	0									
Mills County	IA15	IA	15	NE01	Southwest Iowa Planning Council	19129	0									
Pottawattamie County	IA15	IA	15	NE01	Southwest Iowa Planning Council	19155	0									
Jefferson County	MT10	MT	10	MT06	Montana Business Assistance Connection	30043	0									
Cumberland County	ME01	ME	01	ME03	Greater Portland Council of Governments	23005	0									
Charles County	DC01	DC	01	MD06	Metropolitan Washington Council of Governments	24017	0									
Queen Anne's County	MD01	MD	01	MD03	Baltimore Metropolitan Council	24035	0									
Stoughton town	MA09	MA	09	MA10	Metropolitan Area Planning Council	2167945	1									
Pembroke town	MA09	MA	09	MA10	Metropolitan Area Planning Council	2352630	1									
Columbia County	AR05	AR	05	LA07	Southwest Arkansas Planning and Development District	05027	0									
Lafayette County	AR05	AR	05	LA07	Southwest Arkansas Planning and Development District	05073	0									
Ouachita County	AR05	AR	05	LA07	Southwest Arkansas Planning and Development District	05103	0									
Union County	AR05	AR	05	LA07	Southwest Arkansas Planning and Development District	05139	0									
Bowie County	TX05	TX	05	LA07	Ark-Tex Area Council of Governments	48037	0									
Cass County	TX05	TX	05	LA07	Ark-Tex Area Council of Governments	48067	0									
Gregg County	TX06	TX	06	LA07	East Texas Council of Governments	48183	0									
Harrison County	TX06	TX	06	LA07	East Texas Council of Governments	48203	0									
Marion County	TX06	TX	06	LA07	East Texas Council of Governments	48315	0									
Panola County	TX06	TX	06	LA07	East Texas Council of Governments	48365	0									
Nacogdoches County	TX14	TX	14	LA07	Deep East Texas Council of Governments	48347	0									
Sabine County	TX14	TX	14	LA07	Deep East Texas Council of Governments	48403	0									
San Augustine County	TX14	TX	14	LA07	Deep East Texas Council of Governments	48405	0									
Shelby County	TX14	TX	14	LA07	Deep East Texas Council of Governments	48419	0									
St. Charles Parish	LA02	LA	02	LA03	New Orleans Regional Planning Commission	22089	0									
St. John the Baptist Parish	LA02	LA	02	LA03	New Orleans Regional Planning Commission	22095	0									
Tangipahoa Parish	LA02	LA	02	LA01	New Orleans Regional Planning Commission	22105	0									
Clark County	IN14	IN	14	KY01	River Hills Economic Development District and Regional Planning Commission	18019	0									
Floyd County	IN14	IN	14	KY01	River Hills Economic Development District and Regional Planning Commission	18043	0									
Weld County	CO50	CO	50	CO01	North Front Range MPO	08123	0									
Pinal County	AZ02	AZ	02	AZ01	Maricopa Association of Governments	04021	0									
Aleutians East Borough[4]	AK01	AK	01	0	Southwest Alaska Municipal Conference	02013	0									
Aleutians West Census Area	AK01	AK	01	0	Southwest Alaska Municipal Conference	02016	0									
Bristol Bay Borough	AK01	AK	01	0	Southwest Alaska Municipal Conference	02060	0									
Dillingham Census Area	AK01	AK	01	0	Southwest Alaska Municipal Conference	02070	0									
Kodiak Island Borough	AK01	AK	01	0	Southwest Alaska Municipal Conference	02150	0									
Lake and Peninsula Borough	AK01	AK	01	0	Southwest Alaska Municipal Conference	02164	0									
Kenai Peninsula Borough[4]	AK02	AK	02	0	Kenai peninsula Economic Development District	02122	0									
"Juneau, City and Borough of[7]"	AK03	AK	03	0	Southeast Conference	02110	0									
Ketchikan Gateway Borough[4]	AK03	AK	03	0	Southeast Conference	02130	0									
Petersburg Borough[4]	AK03	AK	03	0	Southeast Conference	02195	0									
"Sitka, City and Borough of[8]"	AK03	AK	03	0	Southeast Conference	02220	0									
"Skagway, Municipality of[4]"	AK03	AK	03	0	Southeast Conference	02230	0									
"Wrangell, City and Borough of[4]"	AK03	AK	03	0	Southeast Conference	02275	0									
Valdez–Cordova Census Area[5]	AK04	AK	04	0	Unattached	02261	0									
"Anchorage, Municipality"	AK50	AK	50	0	Anchorage Metropolitan Area Transportation Solutions	02020	0									
Matanuska-Susitna Borough	AK50	AK	50	0	Anchorage Metropolitan Area Transportation Solutions	02170	0									
Fairbanks North Star Borough	AK51	AK	51	0	Fairbanks Metropolitan Area Transportation System	02090	0									
Bethel Census Area[5]	AK99	AK	99	0	Unattached	02050	0									
Denali Borough[4]	AK99	AK	99	0	Unattached	02068	0									
Haines Borough[4]	AK99	AK	99	0	Unattached	02100	0									
Hoonah–Angoon Census Area[5]	AK99	AK	99	0	Unattached	02105	0									
Nome Census Area[5]	AK99	AK	99	0	Unattached	02180	0									
North Slope Borough[4]	AK99	AK	99	0	Unattached	02185	0									
Northwest Arctic Borough[4]	AK99	AK	99	0	Unattached	02188	0									
Prince of Wales – Hyder Census Area[5]	AK99	AK	99	0	Unattached	02198	0									
Southeast Fairbanks Census Area[5]	AK99	AK	99	0	Unattached	02240	0									
Kusilvak Census Area[5]	AK99	AK	99	0	Unattached	02270	0									
"Yakutat, City and Borough of[9]"	AK99	AK	99	0	Unattached	02282	0									
Yukon–Koyukuk Census Area[5]	AK99	AK	99	0	Unattached	02290	0									
Colbert County	AL01	AL	01	0	Northwest Alabama Regional Council of Governments	01033	0									
Franklin County	AL01	AL	01	0	Northwest Alabama Regional Council of Governments	01059	0									
Lauderdale County	AL01	AL	01	0	Northwest Alabama Regional Council of Governments	01077	0									
Marion County	AL01	AL	01	0	Northwest Alabama Regional Council of Governments	01093	0									
Winston County	AL01	AL	01	0	Northwest Alabama Regional Council of Governments	01133	0									
Bibb County	AL02	AL	02	0	West Alabama Regional Commission	01007	0									
Fayette County	AL02	AL	02	0	West Alabama Regional Commission	01057	0									
Greene County	AL02	AL	02	0	West Alabama Regional Commission	01063	0									
Hale County	AL02	AL	02	0	West Alabama Regional Commission	01065	0									
Lamar County	AL02	AL	02	0	West Alabama Regional Commission	01075	0									
Pickens County	AL02	AL	02	0	West Alabama Regional Commission	01107	0									
Tuscaloosa County	AL02	AL	02	0	West Alabama Regional Commission	01125	0									
Blount County	AL03	AL	03	0	Regional Planning Commission of Greater Birmingham	01009	0									
Chilton County	AL03	AL	03	0	Regional Planning Commission of Greater Birmingham	01021	0									
Jefferson County	AL03	AL	03	0	Regional Planning Commission of Greater Birmingham	01073	0									
St. Clair County	AL03	AL	03	0	Regional Planning Commission of Greater Birmingham	01115	0									
Shelby County	AL03	AL	03	0	Regional Planning Commission of Greater Birmingham	01117	0									
Walker County	AL03	AL	03	0	Regional Planning Commission of Greater Birmingham	01127	0									
Calhoun County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01015	0									
Chambers County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01017	0									
Cherokee County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01019	0									
Clay County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01027	0									
Cleburne County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01029	0									
Coosa County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01037	0									
Etowah County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01055	0									
Randolph County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01111	0									
Talladega County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01121	0									
Tallapoosa County	AL04	AL	04	0	East Alabama Regional Plan and Dev Commission	01123	0									
Bullock County	AL05	AL	05	0	South Central Alabama Development Commission	01011	0									
Butler County	AL05	AL	05	0	South Central Alabama Development Commission	01013	0									
Crenshaw County	AL05	AL	05	0	South Central Alabama Development Commission	01041	0									
Lowndes County	AL05	AL	05	0	South Central Alabama Development Commission	01085	0									
Macon County	AL05	AL	05	0	South Central Alabama Development Commission	01087	0									
