Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,,,,,,,,,
Jefferson,OH11,OH,11,WV11,Ohio Mid-Eastern Governments Association,39081,0,,,,,,,,,
Belmont,OH11,OH,11,WV10,Ohio Mid-Eastern Governments Association,39013,0,,,,,,,,,
Surry,VA01,VA,01,VA19,Hampton Roads Planning District Commission,51181,0,,,,,,,,,
Charles City,VA02,VA,02,VA19,Richmond Regional Planning District,51036,0,,,,,,,,,
Chesterfield,VA02,VA,02,VA19,Richmond Regional Planning District,51041,0,,,,,,,,,
Gloucester,VA01,VA,01,VA18,Hampton Roads Planning District Commission,51073,0,,,,,,,,,
Franklin,VA07,VA,07,VA13,Roanoke Valley-Alleghany Regional Commission,51067,0,,,,,,,,,
Doña Ana,NM05,NM,05,TX08,South Central Council of Governments,35013,0,,,,,,,,,
Miller,AR05,AR,05,TX05 / LA07,Southwest Arkansas Planning and Development District,05091,0,,,,,,,,,
Catoosa,GA02,GA,02,TN08,Northwest Georgia Regional Planning Commission,13047,0,,,,,,,,,
Dade,GA02,GA,02,TN08,Northwest Georgia Regional Planning Commission,13083,0,,,,,,,,,
Walker,GA02,GA,02,TN08,Northwest Georgia Regional Planning Commission,13295,0,,,,,,,,,
Crittenden,AR07,AR,07,TN02,East Arkansas Planning and Development District,05035,0,,,,,,,,,
DeSoto,MS05,MS,05,TN02,North Delta Planning and Development District,28033,0,,,,,,,,,
Perry,PA03,PA,03,PA03,SEDA Council of Governments,42099,0,,,,,,,,,
Rogers,OK02,OK,02,OK09,Indian Nations Council of Governments,40131,0,,,,,,,,,
Fulton,OH06,OH,06,OH10,Toledo Metropolitan Area Council of Governments,39051,0,,,,,,,,,
Monroe,MI01,MI,01,OH06,South East Michigan Council of Governments,26115,0,,,,,,,,,
Warren,OH01,OH,01,OH05,Ohio-Kentucky-Indiana Regional Council of Governments,39165,0,,,,,,,,,
Dearborn,IN09,IN,09,OH01,Southeastern Indiana Regional Planning Commission,18029,0,,,,,,,,,
Mills,IA15,IA,15,NE01,Southwest Iowa Planning Council,19129,0,,,,,,,,,
Pottawattamie,IA15,IA,15,NE01,Southwest Iowa Planning Council,19155,0,,,,,,,,,
Jefferson,MT10,MT,10,MT06,Montana Business Assistance Connection,30043,0,,,,,,,,,
Cumberland,ME01,ME,01,ME03,Greater Portland Council of Governments,23005,0,,,,,,,,,
Charles,DC01,DC,01,MD06,Metropolitan Washington Council of Governments,24017,0,,,,,,,,,
Queen Anne's,MD01,MD,01,MD03,Baltimore Metropolitan Council,24035,0,,,,,,,,,
Stoughton,MA09,MA,09,MA10,Metropolitan Area Planning Council,2167945,1,,,,,,,,,
Pembroke,MA09,MA,09,MA10,Metropolitan Area Planning Council,2352630,1,,,,,,,,,
Columbia,AR05,AR,05,LA07,Southwest Arkansas Planning and Development District,05027,0,,,,,,,,,
Lafayette,AR05,AR,05,LA07,Southwest Arkansas Planning and Development District,05073,0,,,,,,,,,
Ouachita,AR05,AR,05,LA07,Southwest Arkansas Planning and Development District,05103,0,,,,,,,,,
Union,AR05,AR,05,LA07,Southwest Arkansas Planning and Development District,05139,0,,,,,,,,,
Bowie,TX05,TX,05,LA07,Ark-Tex Area Council of Governments,48037,0,,,,,,,,,
Cass,TX05,TX,05,LA07,Ark-Tex Area Council of Governments,48067,0,,,,,,,,,
Gregg,TX06,TX,06,LA07,East Texas Council of Governments,48183,0,,,,,,,,,
Harrison,TX06,TX,06,LA07,East Texas Council of Governments,48203,0,,,,,,,,,
Marion,TX06,TX,06,LA07,East Texas Council of Governments,48315,0,,,,,,,,,
Panola,TX06,TX,06,LA07,East Texas Council of Governments,48365,0,,,,,,,,,
Nacogdoches,TX14,TX,14,LA07,Deep East Texas Council of Governments,48347,0,,,,,,,,,
