state	totalPop	povPop	povPercent
Alabama	4820	784	16.3
Alaska	703	65	9.2
Arizona	6728	1156	17.2
Arkansas	2951	475	16.1
California	39081	5441	13.9
Colorado	5420	538	9.9
Connecticut	3572	324	9.1
Delaware	958	106	11.1
District of Columbia	676	113	16.6
Florida	20071	3253	16.2
Georgia	10100	1833	18.1
Hawaii	1382	151	10.9
Idaho	1657	204	12.3
Illinois	12683	1380	10.9
Indiana	6502	880	13.5
Iowa	3100	321	10.4
Kansas	2849	404	14.2
Kentucky	4365	851	19.5
Louisiana	4599	854	18.6
Maine	1340	165	12.3
Maryland	5892	566	9.6
Massachusetts	6777	782	11.5
Michigan	9852	1259	12.8
Minnesota	5458	428	7.8
Mississippi	2947	563	19.1
Missouri	5946	582	9.8
Montana	1018	121	11.9
Nebraska	1858	192	10.3
Nevada	2864	371	13
New Hampshire	1293	94	7.3
New Jersey	8936	1004	11.2
New Mexico	2036	400	19.7
New York	19645	2791	14.2
North Carolina	9887	1509	15.3
North Dakota	763	82	10.7
Ohio	11435	1550	13.6
Oklahoma	3887	551	14.2
Oregon	4029	478	11.9
Pennsylvania	12564	1542	12.3
Rhode Island	1044	123	11.8
South Carolina	4790	683	14.3
South Dakota	848	118	13.9
Tennessee	6605	973	14.7
Texas	27396	4036	14.7
Utah	3004	279	9.3
Vermont	609	65	10.7
Virginia	8216	894	10.9
Washington	7193	819	11.4
West Virginia	1795	261	14.5
Wisconsin	5736	654	11.4
Wyoming	574	56	9.8
