year,total,whiteAlone,white,whiteANH,whiteNH,blackCombo,blackAlone,black,asianCombo,asianAlone,asianPI,hispanic
2016,40616,27113,0,17263,0,9965,9234,0,2062,1908,0,11137
2015,43123,28566,0,17786,0,10797,10020,0,2234,2078,0,12133
2014,46657,31089,0,19652,0,11581,10755,0,2268,2137,0,13104
2013,45794,30612,0,19174,0,11561,10614,0,2186,2020,0,13050
2012,46496,30816,0,18940,0,11809,10911,0,2072,1921,0,13616
2011,46247,30849,0,19171,0,11730,10929,0,2189,1973,0,13244
2010,46343,31083,0,19251,0,11597,10746,0,2064,1899,0,13522
2009,43569,29830,0,18530,0,10575,9944,0,1901,1746,0,12350
2008,39829,26990,0,17024,0,9882,9379,0,1686,1576,0,10987
2007,37276,25120,0,16032,0,9668,9237,0,1467,1349,0,9890
2006,36460,24416,0,16013,0,9447,9048,0,1447,1353,0,9243
2005,36950,24872,0,16227,0,9517,9168,0,1501,1402,0,9368
2004,37040,25327,0,16908,0,9411,9014,0,1295,1201,0,9122
2003,35861,24272,0,15902,0,9108,8781,0,1527,1401,0,9051
2002,34570,23466,0,15567,0,8884,8602,0,1243,1161,0,8555
2001,32907,0,22739,0,15271,0,0,8136,0,0,1275,7997
2000,31581,0,21645,0,14366,0,0,7982,0,0,1258,7747
1999,32791,0,22169,0,14735,0,0,8441,0,0,1285,7876
1998,34476,0,23454,0,15799,0,0,9091,0,0,1360,8070
1997,35574,0,24396,0,16491,0,0,9116,0,0,1468,8308
1996,36529,0,24650,0,16462,0,0,9694,0,0,1454,8697
1995,36425,0,24423,0,16267,0,0,9872,0,0,1411,8574
1994,38059,0,25379,0,18110,0,0,10196,0,0,974,8416
1993,39265,0,26226,0,18882,0,0,10877,0,0,1134,8126
1992,38014,0,25259,0,18202,0,0,10827,0,0,985,7592
1991,35708,0,23747,0,17741,0,0,10242,0,0,996,6339
1990,33585,0,22326,0,16622,0,0,9837,0,0,858,6006
