year	"White Alone"	"White"	"White Alone, not Hispanic"	"White not Hispanic"	"Black Alone or in Combination"	"Black Alone"	"Black"	"Asian  Alone or in Combination"	"Asian  Alone"	"Asian & Pacific Islander"	"Hispanic (any race)"
2016	66.8	NA	42.5	NA	24.5	22.7	NA	5.1	4.7	NA	27.4
2015	66.2	NA	41.2	NA	25	23.2	NA	5.2	4.8	NA	28.1
2014	66.6	NA	42.1	NA	24.8	23.1	NA	4.9	4.6	NA	28.1
2013	67.6	NA	42.3	NA	24.1	22	NA	5.2	4.9	NA	28.9
2013	66.1	NA	41.5	NA	26.4	24.4	NA	4.4	3.9	NA	28.1
2012	66.3	NA	40.7	NA	25.4	23.5	NA	4.5	4.1	NA	29.3
2011	66.7	NA	41.5	NA	25.4	23.6	NA	4.7	4.3	NA	28.6
2010	67.1	NA	41.5	NA	25	23.2	NA	4.5	4.1	NA	29.2
2009	68.5	NA	42.5	NA	24.3	22.8	NA	4.4	4	NA	28.3
2008	67.8	NA	42.7	NA	24.8	23.5	NA	4.2	4	NA	27.6
2007	67.4	NA	43	NA	25.9	24.8	NA	3.9	3.6	NA	26.5
2006	67	NA	43.9	NA	25.9	24.8	NA	4	3.7	NA	25.4
2005	67.3	NA	43.9	NA	25.8	24.8	NA	4.1	3.8	NA	25.4
2004	68.4	NA	45.6	NA	25.4	24.3	NA	3.5	3.2	NA	24.6
2003	67.7	NA	44.3	NA	25.4	24.5	NA	4.3	3.9	NA	25.2
2002	67.9	NA	45	NA	25.7	24.9	NA	3.6	3.4	NA	24.7
2001	NA	69.1	NA	46.4	NA	NA	24.7	NA	NA	3.9	24.3
2000	NA	68.5	NA	45.5	NA	NA	25.3	NA	NA	4	24.5
1999	NA	67.6	NA	44.9	NA	NA	25.7	NA	NA	3.9	24
1998	NA	68	NA	45.8	NA	NA	26.4	NA	NA	3.9	23.4
1997	NA	68.6	NA	46.4	NA	NA	25.6	NA	NA	4.1	23.4
1996	NA	67.5	NA	45.1	NA	NA	26.5	NA	NA	4	23.8
1995	NA	67.1	NA	44.7	NA	NA	27.1	NA	NA	3.9	23.5
1994	NA	66.7	NA	47.6	NA	NA	26.8	NA	NA	2.6	22.1
1993	NA	66.8	NA	48.1	NA	NA	27.7	NA	NA	2.9	20.7
1992	NA	66.4	NA	47.9	NA	NA	28.5	NA	NA	2.6	20
1991	NA	66.5	NA	49.7	NA	NA	28.7	NA	NA	2.8	17.8
1990	NA	66.5	NA	49.5	NA	NA	29.3	NA	NA	2.6	17.9
1989	NA	65.9	NA	49.5	NA	NA	29.5	NA	NA	3	17.2
1988	NA	65.3	NA	49	NA	NA	29.5	NA	NA	3.5	16.9
1987	NA	65.8	NA	49.7	NA	NA	29.5	NA	NA	3.2	16.8
1986	NA	68.5	NA	53.3	NA	NA	27.8	NA	NA	NA	15.8
1985	NA	69.1	NA	54	NA	NA	27	NA	NA	NA	15.8
1984	NA	68.1	NA	54.3	NA	NA	28.2	NA	NA	NA	14.3
1983	NA	67.9	NA	55.3	NA	NA	28	NA	NA	NA	13.1
1982	NA	68.4	NA	56.3	NA	NA	28.2	NA	NA	NA	12.5
1981	NA	67.7	NA	56.5	NA	NA	28.8	NA	NA	NA	11.7
1980	NA	67.3	NA	55.9	NA	NA	29.3	NA	NA	NA	11.9
1979	NA	66	NA	55.3	NA	NA	30.9	NA	NA	NA	11.2
1978	NA	66.4	NA	NA	NA	NA	31.1	NA	NA	NA	10.6
1977	NA	66.4	NA	NA	NA	NA	31.3	NA	NA	NA	10.9
1976	NA	66.9	NA	NA	NA	NA	30.4	NA	NA	NA	11.1
1975	NA	68.7	NA	NA	NA	NA	29.2	NA	NA	NA	11.6
1974	NA	67.3	NA	NA	NA	NA	30.7	NA	NA	NA	11
1973	NA	65.9	NA	NA	NA	NA	32.2	NA	NA	NA	10.3
1972	NA	66.2	NA	NA	NA	NA	31.5	NA	NA	NA	NA
1971	NA	69.6	NA	NA	NA	NA	28.9	NA	NA	NA	NA
1970	NA	68.8	NA	NA	NA	NA	29.7	NA	NA	NA	NA
1969	NA	69	NA	NA	NA	NA	29.4	NA	NA	NA	NA
1968	NA	68.5	NA	NA	NA	NA	30	NA	NA	NA	NA
1967	NA	68.4	NA	NA	NA	NA	30.6	NA	NA	NA	NA
1966	NA	67.7	NA	NA	NA	NA	31.1	NA	NA	NA	NA
