state,abv,total,number,percent
Alabama,AL,4820,784,16.3
Alaska,AK,703,65,9.2
Arizona,AZ,6728,1156,17.2
Arkansas,AR,2951,475,16.1
California,CA,39081,5441,13.9
Colorado,CO,5420,538,9.9
Connecticut,CT,3572,324,9.1
Delaware,DE,958,106,11.1
District of Columbia,DC,676,113,16.6
Florida,FL,20071,3253,16.2
Georgia,GA,10100,1833,18.1
Hawaii,HI,1382,151,10.9
Idaho,ID,1657,204,12.3
Illinois,IL,12683,1380,10.9
Indiana,IN,6502,880,13.5
Iowa,IA,3100,321,10.4
Kansas,KS,2849,404,14.2
Kentucky,KY,4365,851,19.5
Louisiana,LA,4599,854,18.6
Maine,ME,1340,165,12.3
Maryland,MD,5892,566,9.6
Massachusetts,MA,6777,782,11.5
Michigan,MI,9852,1259,12.8
Minnesota,MN,5458,428,7.8
Mississippi,MS,2947,563,19.1
Missouri,MO,5946,582,9.8
Montana,MT,1018,121,11.9
Nebraska,NE,1858,192,10.3
Nevada,NV,2864,371,13.0
New Hampshire,NH,1293,94,7.3
New Jersey,NJ,8936,1004,11.2
New Mexico,NM,2036,400,19.7
New York,NY,19645,2791,14.2
North Carolina,NC,9887,1509,15.3
North Dakota,ND,763,82,10.7
Ohio,OH,11435,1550,13.6
Oklahoma,OK,3887,551,14.2
Oregon,OR,4029,478,11.9
Pennsylvania,PA,12564,1542,12.3
Rhode Island,RI,1044,123,11.8
South Carolina,SC,4790,683,14.3
South Dakota,SD,848,118,13.9
Tennessee,TN,6605,973,14.7
Texas,TX,27396,4036,14.7
Utah,UT,3004,279,9.3
Vermont,VT,609,65,10.7
Virginia,VA,8216,894,10.9
Washington,WA,7193,819,11.4
West Virginia,WV,1795,261,14.5
Wisconsin,WI,5736,654,11.4
Wyoming,WY,574,56,9.8
