year,state,abv,povPercent
1990,Alabama,AL,19.2
1991,Alabama,AL,18.8
1992,Alabama,AL,17.3
1993,Alabama,AL,17.4
1994,Alabama,AL,16.4
1995,Alabama,AL,20.1
1996,Alabama,AL,14.0
1997,Alabama,AL,15.7
1998,Alabama,AL,14.5
1999,Alabama,AL,15.2
2000,Alabama,AL,13.3
2001,Alabama,AL,15.9
2002,Alabama,AL,14.5
2003,Alabama,AL,15.0
2004,Alabama,AL,16.9
2005,Alabama,AL,16.7
2006,Alabama,AL,14.3
2007,Alabama,AL,14.5
2008,Alabama,AL,14.3
2009,Alabama,AL,16.6
2010,Alabama,AL,17.2
2011,Alabama,AL,15.4
2012,Alabama,AL,16.2
2013,Alabama,AL,17.6
2014,Alabama,AL,17.8
2015,Alabama,AL,16.3
2016,Alabama,AL,16.2
1990,Alaska,AK,11.4
1991,Alaska,AK,11.8
1992,Alaska,AK,10.2
1993,Alaska,AK,9.1
1994,Alaska,AK,10.2
1995,Alaska,AK,7.1
1996,Alaska,AK,8.2
1997,Alaska,AK,8.8
1998,Alaska,AK,9.4
1999,Alaska,AK,7.6
2000,Alaska,AK,7.6
2001,Alaska,AK,8.5
2002,Alaska,AK,8.8
2003,Alaska,AK,9.6
2004,Alaska,AK,9.1
2005,Alaska,AK,10.0
2006,Alaska,AK,8.9
2007,Alaska,AK,7.6
2008,Alaska,AK,8.2
2009,Alaska,AK,11.7
2010,Alaska,AK,12.5
2011,Alaska,AK,11.7
2012,Alaska,AK,10.0
2013,Alaska,AK,10.3
2014,Alaska,AK,11.9
2015,Alaska,AK,9.2
2016,Alaska,AK,12.6
1990,Arizona,AZ,13.7
1991,Arizona,AZ,14.8
1992,Arizona,AZ,15.8
1993,Arizona,AZ,15.4
1994,Arizona,AZ,15.9
1995,Arizona,AZ,16.1
1996,Arizona,AZ,20.5
1997,Arizona,AZ,17.2
1998,Arizona,AZ,16.6
1999,Arizona,AZ,12.2
2000,Arizona,AZ,11.7
2001,Arizona,AZ,14.6
2002,Arizona,AZ,13.5
2003,Arizona,AZ,13.5
2004,Arizona,AZ,14.4
2005,Arizona,AZ,15.2
2006,Arizona,AZ,14.4
2007,Arizona,AZ,14.3
2008,Arizona,AZ,18.0
2009,Arizona,AZ,21.2
2010,Arizona,AZ,18.8
2011,Arizona,AZ,17.2
2012,Arizona,AZ,19.0
2013,Arizona,AZ,19
2014,Arizona,AZ,21.2
2015,Arizona,AZ,17.2
2016,Arizona,AZ,16.1
1990,Arkansas,AR,19.6
1991,Arkansas,AR,17.3
1992,Arkansas,AR,17.5
1993,Arkansas,AR,20.0
1994,Arkansas,AR,15.3
1995,Arkansas,AR,14.9
1996,Arkansas,AR,17.2
1997,Arkansas,AR,19.7
1998,Arkansas,AR,14.7
1999,Arkansas,AR,14.7
2000,Arkansas,AR,16.5
2001,Arkansas,AR,17.8
2002,Arkansas,AR,19.8
2003,Arkansas,AR,17.8
2004,Arkansas,AR,15.1
2005,Arkansas,AR,13.8
2006,Arkansas,AR,17.7
2007,Arkansas,AR,13.8
2008,Arkansas,AR,15.3
2009,Arkansas,AR,18.9
2010,Arkansas,AR,15.3
2011,Arkansas,AR,18.7
2012,Arkansas,AR,20.1
2013,Arkansas,AR,15.5
2014,Arkansas,AR,18.4
2015,Arkansas,AR,16.1
2016,Arkansas,AR,16.0
1990,California,CA,13.9
1991,California,CA,15.7
1992,California,CA,16.4
1993,California,CA,18.2
1994,California,CA,17.9
1995,California,CA,16.7
1996,California,CA,16.9
1997,California,CA,16.6
1998,California,CA,15.4
1999,California,CA,14.0
2000,California,CA,12.7
2001,California,CA,12.6
2002,California,CA,13.1
2003,California,CA,13.1
2004,California,CA,13.2
2005,California,CA,13.2
2006,California,CA,12.2
2007,California,CA,12.7
2008,California,CA,14.6
2009,California,CA,15.3
2010,California,CA,16.3
2011,California,CA,16.9
2012,California,CA,15.9
2013,California,CA,15
2014,California,CA,15.8
2015,California,CA,13.9
2016,California,CA,13.9
1990,Colorado,CO,13.7
1991,Colorado,CO,10.4
1992,Colorado,CO,10.8
1993,Colorado,CO,9.9
1994,Colorado,CO,9.0
1995,Colorado,CO,8.8
1996,Colorado,CO,10.6
1997,Colorado,CO,8.2
1998,Colorado,CO,9.2
1999,Colorado,CO,8.5
2000,Colorado,CO,9.8
2001,Colorado,CO,8.7
2002,Colorado,CO,9.8
2003,Colorado,CO,9.7
2004,Colorado,CO,10.0
2005,Colorado,CO,11.4
2006,Colorado,CO,9.7
2007,Colorado,CO,9.8
2008,Colorado,CO,11.0
2009,Colorado,CO,12.3
2010,Colorado,CO,12.3
2011,Colorado,CO,13.2
2012,Colorado,CO,11.9
2013,Colorado,CO,10.65
2014,Colorado,CO,12.3
2015,Colorado,CO,9.9
2016,Colorado,CO,8.5
1990,Connecticut,CT,6.0
1991,Connecticut,CT,8.6
1992,Connecticut,CT,9.8
1993,Connecticut,CT,8.5
1994,Connecticut,CT,10.8
1995,Connecticut,CT,9.7
1996,Connecticut,CT,11.7
1997,Connecticut,CT,8.6
1998,Connecticut,CT,9.5
1999,Connecticut,CT,7.2
2000,Connecticut,CT,7.7
2001,Connecticut,CT,7.3
2002,Connecticut,CT,8.3
2003,Connecticut,CT,8.1
2004,Connecticut,CT,10.1
2005,Connecticut,CT,9.3
2006,Connecticut,CT,8.0
2007,Connecticut,CT,8.9
2008,Connecticut,CT,8.1
2009,Connecticut,CT,8.4
2010,Connecticut,CT,8.6
2011,Connecticut,CT,10.1
2012,Connecticut,CT,10.3
2013,Connecticut,CT,11.1
2014,Connecticut,CT,8.6
2015,Connecticut,CT,9.1
2016,Connecticut,CT,9.8
1990,Delaware,DE,6.9
1991,Delaware,DE,7.5
1992,Delaware,DE,7.8
1993,Delaware,DE,10.2
1994,Delaware,DE,8.3
1995,Delaware,DE,10.3
1996,Delaware,DE,8.6
1997,Delaware,DE,9.6
1998,Delaware,DE,10.3
1999,Delaware,DE,10.4
2000,Delaware,DE,8.4
2001,Delaware,DE,6.7
2002,Delaware,DE,9.1
2003,Delaware,DE,7.3
2004,Delaware,DE,9.0
2005,Delaware,DE,9.2
2006,Delaware,DE,9.3
2007,Delaware,DE,9.3
2008,Delaware,DE,9.6
2009,Delaware,DE,12.3
2010,Delaware,DE,12.2
2011,Delaware,DE,13.7
2012,Delaware,DE,13.5
2013,Delaware,DE,12.6
2014,Delaware,DE,11.0
2015,Delaware,DE,11.1
2016,Delaware,DE,11.6
1990,District of Columbia,DC,21.1
1991,District of Columbia,DC,18.6
1992,District of Columbia,DC,20.3
1993,District of Columbia,DC,26.4
1994,District of Columbia,DC,21.2
1995,District of Columbia,DC,22.2
1996,District of Columbia,DC,24.1
1997,District of Columbia,DC,21.8
1998,District of Columbia,DC,22.3
1999,District of Columbia,DC,14.7
2000,District of Columbia,DC,15.2
2001,District of Columbia,DC,18.2
2002,District of Columbia,DC,17.0
2003,District of Columbia,DC,16.8
2004,District of Columbia,DC,17.0
2005,District of Columbia,DC,21.3
2006,District of Columbia,DC,18.3
2007,District of Columbia,DC,18.0
2008,District of Columbia,DC,16.5
2009,District of Columbia,DC,17.9
2010,District of Columbia,DC,19.5
2011,District of Columbia,DC,19.9
