node	title	group	degree
0	1000 Years for Revenge	n	6
1	Bush vs. the Beltway	c	4
2	Charlie Wilson's War	c	4
3	Losing Bin Laden	c	23
4	Sleeping With the Devil	n	8
5	The Man Who Warned America	c	7
6	Why America Slept	n	11
7	Ghost Wars	n	8
8	A National Party No More	c	25
9	Bush Country	c	16
10	Dereliction of Duty	c	15
11	Legacy	c	18
12	Off with Their Heads	c	25
13	Persecution	c	13
14	Rumsfeld's War	c	9
15	Breakdown	c	5
16	Betrayal	c	3
17	Shut Up and Sing	c	5
18	Meant To Be	n	3
19	The Right Man	c	5
20	Ten Minutes from Normal	c	10
21	Hillary's Scheme	c	5
22	The French Betrayal of America	c	7
23	Tales from the Left Coast	c	9
24	Hating America	c	9
25	The Third Terrorist	c	5
26	Endgame	c	9
27	Spin Sisters	c	9
28	All the Shah's Men	n	3
29	Dangerous Dimplomacy	c	4
30	The Price of Loyalty	l	20
31	"House of Bush, House of Saud"	l	11
32	The Death of Right and Wrong	c	5
33	Useful Idiots	c	9
34	The O'Reilly Factor	c	5
35	Let Freedom Ring	c	10
36	Those Who Trespass	c	5
37	Bias	c	7
38	Slander	c	7
39	The Savage Nation	c	8
40	Deliver Us from Evil	c	18
41	Give Me a Break	c	8
42	The Enemy Within	c	6
43	The Real America	c	5
44	Who's Looking Out for You?	c	5
45	The Official Handbook Vast Right Wing Conspiracy	c	6
46	Power Plays	n	4
47	Arrogance	c	18
48	The Perfect Wife	n	4
49	The Bushes	c	8
50	Things Worth Fighting For	c	3
51	"Surprise, Security, the American Experience"	n	6
52	Allies	c	5
53	Why Courage Matters	c	5
54	Hollywood Interrupted	c	6
55	Fighting Back	c	4
56	We Will Prevail	c	4
57	The Faith of George W Bush	c	5
58	Rise of the Vulcans	c	13
59	Downsize This!	l	5
60	Stupid White Men	l	6
61	Rush Limbaugh Is a Big Fat Idiot	l	4
62	The Best Democracy Money Can Buy	l	6
63	The Culture of Fear	l	4
64	America Unbound	l	9
65	The Choice	l	7
66	The Great Unraveling	l	21
67	Rogue Nation	l	6
68	Soft Power	l	4
69	Colossus	n	5
70	The Sorrows of Empire	l	7
71	Against All Enemies	l	15
72	American Dynasty	l	22
73	Big Lies	l	21
74	The Lies of George W. Bush	l	16
75	Worse Than Watergate	l	16
76	Plan of Attack	n	13
77	Bush at War	c	7
78	The New Pearl Harbor	l	5
79	Bushwomen	l	8
80	The Bubble of American Supremacy	l	4
81	Living History	l	4
82	The Politics of Truth	l	9
83	Fanatics and Fools	l	8
84	Bushwhacked	l	23
85	Disarming Iraq	l	5
86	Lies and the Lying Liars Who Tell Them	l	14
87	MoveOn's 50 Ways to Love Your Country	l	5
88	The Buying of the President 2004	l	5
89	Perfectly Legal	l	6
90	Hegemony or Survival	l	5
91	The Exception to the Rulers	l	8
92	Freethinkers	l	3
93	Had Enough?	l	7
94	"It's Still the Economy, Stupid!"	l	7
95	We're Right They're Wrong	l	4
96	What Liberal Media?	l	6
97	The Clinton Wars	l	6
98	Weapons of Mass Deception	l	5
99	"Dude, Where's My Country?"	l	12
100	Thieves in High Places	l	12
101	Shrub	l	5
102	Buck Up Suck Up	l	4
103	The Future of Freedom	n	2
104	Empire	n	3
